BusinessEntityID,PersonType,FirstName,LastName,EmailPromotion
1,EM,Ken,Sánchez,0
2,EM,Terri,Duffy,1
3,EM,Roberto,Tamburello,0
4,EM,Rob,Walters,0
5,EM,Gail,Erickson,0
6,EM,Jossef,Goldberg,0
7,EM,Dylan,Miller,2
8,EM,Diane,Margheim,0
9,EM,Gigi,Matthew,0
10,EM,Michael,Raheem,2
11,EM,Ovidiu,Cracium,0
12,EM,Thierry,D'Hers,2
13,EM,Janice,Galvin,2
14,EM,Michael,Sullivan,2
15,EM,Sharon,Salavaria,2
16,EM,David,Bradley,1
17,EM,Kevin,Brown,2
18,EM,John,Wood,2
19,EM,Mary,Dempsey,1
20,EM,Wanida,Benshoof,2
21,EM,Terry,Eminhizer,2
22,EM,Sariya,Harnpadoungsataya,0
23,EM,Mary,Gibson,0
24,EM,Jill,Williams,0
25,EM,James,Hamilton,0
26,EM,Peter,Krebs,0
27,EM,Jo,Brown,0
28,EM,Guy,Gilbert,0
29,EM,Mark,McArthur,1
30,EM,Britta,Simon,0
31,EM,Margie,Shoop,2
32,EM,Rebecca,Laszlo,1
33,EM,Annik,Stahl,0
34,EM,Suchitra,Mohan,2
35,EM,Brandon,Heidepriem,1
36,EM,Jose,Lugo,2
37,EM,Chris,Okelberry,0
38,EM,Kim,Abercrombie,2
39,EM,Ed,Dudenhoefer,0
40,EM,JoLynn,Dobney,1
41,EM,Bryan,Baker,0
42,EM,James,Kramer,2
43,EM,Nancy,Anderson,1
44,EM,Simon,Rapier,0
45,EM,Thomas,Michaels,1
46,EM,Eugene,Kogan,0
47,EM,Andrew,Hill,1
48,EM,Ruth,Ellerbrock,0
49,EM,Barry,Johnson,0
50,EM,Sidney,Higa,0
51,EM,Jeffrey,Ford,0
52,EM,Doris,Hartwig,0
53,EM,Diane,Glimp,2
54,EM,Bonnie,Kearney,0
55,EM,Taylor,Maxwell,0
56,EM,Denise,Smith,0
57,EM,Frank,Miller,1
58,EM,Kendall,Keil,2
59,EM,Bob,Hohman,0
60,EM,Pete,Male,2
61,EM,Diane,Tibbott,0
62,EM,John,Campbell,1
63,EM,Maciej,Dusza,0
64,EM,Michael,Zwilling,1
65,EM,Randy,Reeves,0
66,EM,Karan,Khanna,1
67,EM,Jay,Adams,0
68,EM,Charles,Fitzgerald,2
69,EM,Steve,Masters,1
70,EM,David,Ortiz,0
71,EM,Michael,Ray,2
72,EM,Steven,Selikoff,2
73,EM,Carole,Poland,2
74,EM,Bjorn,Rettig,1
75,EM,Michiko,Osada,0
76,EM,Carol,Philips,2
77,EM,Merav,Netz,0
78,EM,Reuben,D'sa,2
79,EM,Eric,Brown,0
80,EM,Sandeep,Kaliyath,2
81,EM,Mihail,Frintu,0
82,EM,Jack,Creasey,0
83,EM,Patrick,Cook,0
84,EM,Frank,Martinez,1
85,EM,Brian,Goldstein,0
86,EM,Ryan,Cornelsen,2
87,EM,Cristian,Petculescu,1
88,EM,Betsy,Stadick,0
89,EM,Patrick,Wedge,0
90,EM,Danielle,Tiedt,1
